"type","part","municipality","year","value"
"Procent","Uuddannet","Allerød","2013",10.94
"Procent","Uuddannet","Allerød","2014",10.62
"Procent","Uuddannet","Allerød","2015",10.26
"Procent","Uuddannet","Allerød","2016",9.82
"Procent","Uuddannet","Allerød","2017",9.70
"Procent","Uuddannet","Assens","2008",28.08
"Procent","Uuddannet","Assens","2009",27.07
"Procent","Uuddannet","Assens","2010",26.57
"Procent","Uuddannet","Assens","2011",25.78
"Procent","Uuddannet","Assens","2012",25.42
"Procent","Uuddannet","Assens","2013",25.10
"Procent","Uuddannet","Assens","2014",24.60
"Procent","Uuddannet","Assens","2015",24.06
"Procent","Uuddannet","Assens","2016",23.43
"Procent","Uuddannet","Assens","2017",23.05
"Procent","Uuddannet","Ballerup","2008",24.25
"Procent","Uuddannet","Ballerup","2009",24.01
"Procent","Uuddannet","Ballerup","2010",23.70
"Procent","Uuddannet","Ballerup","2011",23.37
"Procent","Uuddannet","Ballerup","2012",23.12
"Procent","Uuddannet","Ballerup","2013",22.90
"Procent","Uuddannet","Ballerup","2014",22.54
"Procent","Uuddannet","Ballerup","2015",22.00
"Procent","Uuddannet","Ballerup","2016",21.19
"Procent","Uuddannet","Ballerup","2017",20.56
"Procent","Uuddannet","Billund","2008",30.02
"Procent","Uuddannet","Billund","2009",29.69
"Procent","Uuddannet","Billund","2010",28.93
"Procent","Uuddannet","Billund","2011",28.34
"Procent","Uuddannet","Billund","2012",27.75
"Procent","Uuddannet","Billund","2013",27.50
"Procent","Uuddannet","Billund","2014",26.69
"Procent","Uuddannet","Billund","2015",25.97
"Procent","Uuddannet","Billund","2016",25.82
"Procent","Uuddannet","Billund","2017",24.91
"Procent","Uuddannet","Bornholm","2008",30.01
"Procent","Uuddannet","Bornholm","2009",29.32
"Procent","Uuddannet","Bornholm","2010",28.87
"Procent","Uuddannet","Bornholm","2011",28.40
"Procent","Uuddannet","Bornholm","2012",27.66
"Procent","Uuddannet","Bornholm","2013",27.24
"Procent","Uuddannet","Bornholm","2014",26.76
"Procent","Uuddannet","Bornholm","2015",26.13
"Procent","Uuddannet","Bornholm","2016",25.21
"Procent","Uuddannet","Bornholm","2017",24.53
"Procent","Uuddannet","Brøndby","2008",32.90
"Procent","Uuddannet","Brøndby","2009",32.90
"Procent","Uuddannet","Brøndby","2010",32.55
"Procent","Uuddannet","Brøndby","2011",32.43
"Procent","Uuddannet","Brøndby","2012",32.29
"Procent","Uuddannet","Brøndby","2013",32.15
"Procent","Uuddannet","Brøndby","2014",31.78
"Procent","Uuddannet","Brøndby","2015",31.45
"Procent","Uuddannet","Brøndby","2016",30.91
"Procent","Uuddannet","Brøndby","2017",30.09
"Procent","Uuddannet","Brønderslev","2008",26.11
"Procent","Uuddannet","Brønderslev","2009",25.28
"Procent","Uuddannet","Brønderslev","2010",24.70
"Procent","Uuddannet","Brønderslev","2011",24.21
"Procent","Uuddannet","Brønderslev","2012",24.14
"Procent","Uuddannet","Brønderslev","2013",23.68
"Procent","Uuddannet","Brønderslev","2014",23.31
"Procent","Uuddannet","Brønderslev","2015",23.06
"Procent","Uuddannet","Brønderslev","2016",22.31
"Procent","Uuddannet","Brønderslev","2017",21.48
"Procent","Uuddannet","Christiansø","2008",22.73
"Procent","Uuddannet","Christiansø","2009",22.73
"Procent","Uuddannet","Christiansø","2010",22.73
"Procent","Uuddannet","Christiansø","2011",20.00
"Procent","Uuddannet","Christiansø","2012",20.00
"Procent","Uuddannet","Christiansø","2013",21.05
"Procent","Uuddannet","Christiansø","2014",21.05
"Procent","Uuddannet","Christiansø","2015",20.59
"Procent","Uuddannet","Christiansø","2016",17.65
"Procent","Uuddannet","Christiansø","2017",16.67
"Procent","Uuddannet","Dragør","2008",16.35
"Procent","Uuddannet","Dragør","2009",16.16
"Procent","Uuddannet","Dragør","2010",15.90
"Procent","Uuddannet","Dragør","2011",15.57
"Procent","Uuddannet","Dragør","2012",15.45
"Procent","Uuddannet","Dragør","2013",14.94
"Procent","Uuddannet","Dragør","2014",14.64
"Procent","Uuddannet","Dragør","2015",13.59
"Procent","Uuddannet","Dragør","2016",13.05
"Procent","Uuddannet","Dragør","2017",12.53
"Procent","Uuddannet","Egedal","2008",16.26
"Procent","Uuddannet","Egedal","2009",15.82
"Procent","Uuddannet","Egedal","2010",15.37
"Procent","Uuddannet","Egedal","2011",15.04
"Procent","Uuddannet","Egedal","2012",14.62
"Procent","Uuddannet","Egedal","2013",14.35
"Procent","Uuddannet","Egedal","2014",14.13
"Procent","Uuddannet","Egedal","2015",13.87
"Procent","Uuddannet","Egedal","2016",13.82
"Procent","Uuddannet","Egedal","2017",13.38
"Procent","Uuddannet","Esbjerg","2008",27.39
"Procent","Uuddannet","Esbjerg","2009",27.03
"Procent","Uuddannet","Esbjerg","2010",26.61
"Procent","Uuddannet","Esbjerg","2011",26.12
"Procent","Uuddannet","Esbjerg","2012",25.80
"Procent","Uuddannet","Esbjerg","2013",25.29
"Procent","Uuddannet","Esbjerg","2014",24.45
"Procent","Uuddannet","Esbjerg","2015",23.76
"Procent","Uuddannet","Esbjerg","2016",22.89
"Procent","Uuddannet","Esbjerg","2017",22.26
"Procent","Uuddannet","Faaborg-Midtfyn","2008",25.37
"Procent","Uuddannet","Faaborg-Midtfyn","2009",25.10
"Procent","Uuddannet","Faaborg-Midtfyn","2010",24.55
"Procent","Uuddannet","Faaborg-Midtfyn","2011",24.10
"Procent","Uuddannet","Faaborg-Midtfyn","2012",23.84
"Procent","Uuddannet","Faaborg-Midtfyn","2013",23.59
"Procent","Uuddannet","Faaborg-Midtfyn","2014",23.15
"Procent","Uuddannet","Faaborg-Midtfyn","2015",22.62
"Procent","Uuddannet","Faaborg-Midtfyn","2016",22.16
"Procent","Uuddannet","Faaborg-Midtfyn","2017",21.72
"Procent","Uuddannet","Fanø","2008",14.16
"Procent","Uuddannet","Fanø","2009",14.24
"Procent","Uuddannet","Fanø","2010",15.01
"Procent","Uuddannet","Fanø","2011",14.93
"Procent","Uuddannet","Fanø","2012",14.86
"Procent","Uuddannet","Fanø","2013",15.05
"Procent","Uuddannet","Fanø","2014",15.84
"Procent","Uuddannet","Fanø","2015",15.75
"Procent","Uuddannet","Fanø","2016",16.01
"Procent","Uuddannet","Fanø","2017",15.21
"Procent","Uuddannet","Favrskov","2008",20.98
"Procent","Uuddannet","Favrskov","2009",20.31
"Procent","Uuddannet","Favrskov","2010",19.90
"Procent","Uuddannet","Favrskov","2011",19.25
"Procent","Uuddannet","Favrskov","2012",18.62
"Procent","Uuddannet","Favrskov","2013",18.17
"Procent","Uuddannet","Favrskov","2014",17.59
"Procent","Uuddannet","Favrskov","2015",17.19
"Procent","Uuddannet","Favrskov","2016",16.76
"Procent","Uuddannet","Favrskov","2017",16.27
"Procent","Uuddannet","Faxe","2008",27.40
"Procent","Uuddannet","Faxe","2009",26.75
"Procent","Uuddannet","Faxe","2010",26.70
"Procent","Uuddannet","Faxe","2011",26.44
"Procent","Uuddannet","Faxe","2012",26.16
"Procent","Uuddannet","Faxe","2013",26.09
"Procent","Uuddannet","Faxe","2014",25.88
"Procent","Uuddannet","Faxe","2015",25.40
"Procent","Uuddannet","Faxe","2016",24.78
"Procent","Uuddannet","Faxe","2017",24.42
"Procent","Uuddannet","Fredensborg","2008",19.47
"Procent","Uuddannet","Fredensborg","2009",19.49
"Procent","Uuddannet","Fredensborg","2010",19.20
"Procent","Uuddannet","Fredensborg","2011",18.74
"Procent","Uuddannet","Fredensborg","2012",18.77
"Procent","Uuddannet","Fredensborg","2013",18.59
"Procent","Uuddannet","Fredensborg","2014",18.47
"Procent","Uuddannet","Fredensborg","2015",17.78
"Procent","Uuddannet","Fredensborg","2016",17.39
"Procent","Uuddannet","Fredensborg","2017",17.10
"Procent","Uuddannet","Fredericia","2008",28.63
"Procent","Uuddannet","Fredericia","2009",28.12
"Procent","Uuddannet","Fredericia","2010",27.58
"Procent","Uuddannet","Fredericia","2011",27.06
"Procent","Uuddannet","Fredericia","2012",26.48
"Procent","Uuddannet","Fredericia","2013",26.14
"Procent","Uuddannet","Fredericia","2014",25.70
"Procent","Uuddannet","Fredericia","2015",25.08
"Procent","Uuddannet","Fredericia","2016",24.44
"Procent","Uuddannet","Fredericia","2017",23.79
"Procent","Uuddannet","Frederiksberg","2008",16.05
"Procent","Uuddannet","Frederiksberg","2009",16.03
"Procent","Uuddannet","Frederiksberg","2010",15.45
"Procent","Uuddannet","Frederiksberg","2011",15.24
"Procent","Uuddannet","Frederiksberg","2012",14.85
"Procent","Uuddannet","Frederiksberg","2013",14.60
"Procent","Uuddannet","Frederiksberg","2014",13.99
"Procent","Uuddannet","Frederiksberg","2015",12.94
"Procent","Uuddannet","Frederiksberg","2016",12.08
"Procent","Uuddannet","Frederiksberg","2017",11.67
"Procent","Uuddannet","Frederikshavn","2008",29.16
"Procent","Uuddannet","Frederikshavn","2009",28.46
"Procent","Uuddannet","Frederikshavn","2010",27.75
"Procent","Uuddannet","Frederikshavn","2011",27.16
"Procent","Uuddannet","Frederikshavn","2012",26.63
"Procent","Uuddannet","Frederikshavn","2013",26.20
"Procent","Uuddannet","Frederikshavn","2014",25.67
"Procent","Uuddannet","Frederikshavn","2015",25.07
"Procent","Uuddannet","Frederikshavn","2016",24.03
"Procent","Uuddannet","Frederikshavn","2017",23.52
"Procent","Uuddannet","Frederikssund","2008",21.46
"Procent","Uuddannet","Frederikssund","2009",21.23
"Procent","Uuddannet","Frederikssund","2010",20.75
"Procent","Uuddannet","Frederikssund","2011",20.36
"Procent","Uuddannet","Frederikssund","2012",20.13
"Procent","Uuddannet","Frederikssund","2013",19.82
"Procent","Uuddannet","Frederikssund","2014",19.56
"Procent","Uuddannet","Frederikssund","2015",19.25
"Procent","Uuddannet","Frederikssund","2016",18.84
"Procent","Uuddannet","Frederikssund","2017",18.51
"Procent","Uuddannet","Furesø","2008",15.49
"Procent","Uuddannet","Furesø","2009",15.37
"Procent","Uuddannet","Furesø","2010",15.48
"Procent","Uuddannet","Furesø","2011",15.06
"Procent","Uuddannet","Furesø","2012",14.62
"Procent","Uuddannet","Furesø","2013",14.05
"Procent","Uuddannet","Furesø","2014",13.58
"Procent","Uuddannet","Furesø","2015",13.16
"Procent","Uuddannet","Furesø","2016",13.14
"Procent","Uuddannet","Furesø","2017",12.83
"Procent","Uuddannet","Gentofte","2008",11.96
"Procent","Uuddannet","Gentofte","2009",11.95
"Procent","Uuddannet","Gentofte","2010",11.92
"Procent","Uuddannet","Gentofte","2011",12.05
"Procent","Uuddannet","Gentofte","2012",12.31
"Procent","Uuddannet","Gentofte","2013",11.83
"Procent","Uuddannet","Gentofte","2014",11.32
"Procent","Uuddannet","Gentofte","2015",10.51
"Procent","Uuddannet","Gentofte","2016",9.38
"Procent","Uuddannet","Gentofte","2017",9.30
"Procent","Uuddannet","Gladsaxe","2008",19.81
"Procent","Uuddannet","Gladsaxe","2009",19.48
"Procent","Uuddannet","Gladsaxe","2010",19.33
"Procent","Uuddannet","Gladsaxe","2011",18.97
"Procent","Uuddannet","Gladsaxe","2012",18.65
"Procent","Uuddannet","Gladsaxe","2013",18.49
"Procent","Uuddannet","Gladsaxe","2014",18.21
"Procent","Uuddannet","Gladsaxe","2015",17.49
"Procent","Uuddannet","Gladsaxe","2016",16.72
"Procent","Uuddannet","Gladsaxe","2017",16.32
"Procent","Uuddannet","Glostrup","2008",24.78
"Procent","Uuddannet","Glostrup","2009",24.58
"Procent","Uuddannet","Glostrup","2010",24.51
"Procent","Uuddannet","Glostrup","2011",23.91
"Procent","Uuddannet","Glostrup","2012",24.00
"Procent","Uuddannet","Glostrup","2013",23.45
"Procent","Uuddannet","Glostrup","2014",23.36
"Procent","Uuddannet","Glostrup","2015",22.62
"Procent","Uuddannet","Glostrup","2016",21.77
"Procent","Uuddannet","Glostrup","2017",20.90
"Procent","Uuddannet","Greve","2008",21.02
"Procent","Uuddannet","Greve","2009",20.49
"Procent","Uuddannet","Greve","2010",20.00
"Procent","Uuddannet","Greve","2011",19.64
"Procent","Uuddannet","Greve","2012",19.26
"Procent","Uuddannet","Greve","2013",18.99
"Procent","Uuddannet","Greve","2014",18.61
"Procent","Uuddannet","Greve","2015",18.05
"Procent","Uuddannet","Greve","2016",17.60
"Procent","Uuddannet","Greve","2017",16.99
"Procent","Uuddannet","Gribskov","2008",22.76
"Procent","Uuddannet","Gribskov","2009",22.22
"Procent","Uuddannet","Gribskov","2010",22.00
"Procent","Uuddannet","Gribskov","2011",21.61
"Procent","Uuddannet","Gribskov","2012",21.54
"Procent","Uuddannet","Gribskov","2013",21.40
"Procent","Uuddannet","Gribskov","2014",21.45
"Procent","Uuddannet","Gribskov","2015",21.12
"Procent","Uuddannet","Gribskov","2016",20.67
"Procent","Uuddannet","Gribskov","2017",20.02
"Procent","Uuddannet","Guldborgsund","2008",28.30
"Procent","Uuddannet","Guldborgsund","2009",27.97
"Procent","Uuddannet","Guldborgsund","2010",27.45
"Procent","Uuddannet","Guldborgsund","2011",26.95
"Procent","Uuddannet","Guldborgsund","2012",26.73
"Procent","Uuddannet","Guldborgsund","2013",26.57
"Procent","Uuddannet","Guldborgsund","2014",26.18
"Procent","Uuddannet","Guldborgsund","2015",25.86
"Procent","Uuddannet","Guldborgsund","2016",25.44
"Procent","Uuddannet","Guldborgsund","2017",24.96
"Procent","Uuddannet","Haderslev","2008",27.46
"Procent","Uuddannet","Haderslev","2009",26.90
"Procent","Uuddannet","Haderslev","2010",26.50
"Procent","Uuddannet","Haderslev","2011",26.06
"Procent","Uuddannet","Haderslev","2012",25.57
"Procent","Uuddannet","Haderslev","2013",25.37
"Procent","Uuddannet","Haderslev","2014",24.80
"Procent","Uuddannet","Haderslev","2015",24.19
"Procent","Uuddannet","Haderslev","2016",23.48
"Procent","Uuddannet","Haderslev","2017",23.17
"Procent","Uuddannet","Halsnæs","2008",28.02
"Procent","Uuddannet","Halsnæs","2009",27.60
"Procent","Uuddannet","Halsnæs","2010",26.94
"Procent","Uuddannet","Halsnæs","2011",26.27
"Procent","Uuddannet","Halsnæs","2012",26.18
"Procent","Uuddannet","Halsnæs","2013",25.72
"Procent","Uuddannet","Halsnæs","2014",25.19
"Procent","Uuddannet","Halsnæs","2015",24.75
"Procent","Uuddannet","Halsnæs","2016",24.03
"Procent","Uuddannet","Halsnæs","2017",23.40
"Procent","Uuddannet","Hedensted","2008",27.38
"Procent","Uuddannet","Hedensted","2009",26.72
"Procent","Uuddannet","Hedensted","2010",26.15
"Procent","Uuddannet","Hedensted","2011",25.54
"Procent","Uuddannet","Hedensted","2012",25.15
"Procent","Uuddannet","Hedensted","2013",24.49
"Procent","Uuddannet","Hedensted","2014",23.85
"Procent","Uuddannet","Hedensted","2015",23.39
"Procent","Uuddannet","Hedensted","2016",22.97
"Procent","Uuddannet","Hedensted","2017",22.24
"Procent","Uuddannet","Helsingør","2008",22.70
"Procent","Uuddannet","Helsingør","2009",22.62
"Procent","Uuddannet","Helsingør","2010",22.30
"Procent","Uuddannet","Helsingør","2011",22.15
"Procent","Uuddannet","Helsingør","2012",22.15
"Procent","Uuddannet","Helsingør","2013",21.87
"Procent","Uuddannet","Helsingør","2014",21.62
"Procent","Uuddannet","Helsingør","2015",21.06
"Procent","Uuddannet","Helsingør","2016",20.53
"Procent","Uuddannet","Helsingør","2017",20.06
"Procent","Uuddannet","Herlev","2008",24.58
"Procent","Uuddannet","Herlev","2009",24.30
"Procent","Uuddannet","Herlev","2010",23.83
"Procent","Uuddannet","Herlev","2011",23.43
"Procent","Uuddannet","Herlev","2012",23.66
"Procent","Uuddannet","Herlev","2013",23.25
"Procent","Uuddannet","Herlev","2014",22.62
"Procent","Uuddannet","Herlev","2015",22.20
"Procent","Uuddannet","Herlev","2016",21.29
"Procent","Uuddannet","Herlev","2017",20.60
"Procent","Uuddannet","Herning","2008",26.91
"Procent","Uuddannet","Herning","2009",26.51
"Procent","Uuddannet","Herning","2010",25.67
"Procent","Uuddannet","Herning","2011",24.91
"Procent","Uuddannet","Herning","2012",24.55
"Procent","Uuddannet","Herning","2013",23.89
"Procent","Uuddannet","Herning","2014",23.21
"Procent","Uuddannet","Herning","2015",22.37
"Procent","Uuddannet","Herning","2016",21.74
"Procent","Uuddannet","Herning","2017",21.10
"Procent","Uuddannet","Hillerød","2008",16.86
"Procent","Uuddannet","Hillerød","2009",16.57
"Procent","Uuddannet","Hillerød","2010",16.34
"Procent","Uuddannet","Hillerød","2011",16.06
"Procent","Uuddannet","Hillerød","2012",15.84
"Procent","Uuddannet","Hillerød","2013",15.73
"Procent","Uuddannet","Hillerød","2014",15.46
"Procent","Uuddannet","Hillerød","2015",15.14
"Procent","Uuddannet","Hillerød","2016",14.84
"Procent","Uuddannet","Hillerød","2017",14.70
"Procent","Uuddannet","Hjørring","2008",28.28
"Procent","Uuddannet","Hjørring","2009",27.53
"Procent","Uuddannet","Hjørring","2010",26.68
"Procent","Uuddannet","Hjørring","2011",26.13
"Procent","Uuddannet","Hjørring","2012",25.84
"Procent","Uuddannet","Hjørring","2013",25.28
"Procent","Uuddannet","Hjørring","2014",24.80
"Procent","Uuddannet","Hjørring","2015",24.13
"Procent","Uuddannet","Hjørring","2016",23.66
"Procent","Uuddannet","Hjørring","2017",23.09
"Procent","Uuddannet","Holbæk","2008",25.88
"Procent","Uuddannet","Holbæk","2009",25.35
"Procent","Uuddannet","Holbæk","2010",24.97
"Procent","Uuddannet","Holbæk","2011",24.58
"Procent","Uuddannet","Holbæk","2012",24.30
"Procent","Uuddannet","Holbæk","2013",24.02
"Procent","Uuddannet","Holbæk","2014",23.65
"Procent","Uuddannet","Holbæk","2015",23.32
"Procent","Uuddannet","Holbæk","2016",22.82
"Procent","Uuddannet","Holbæk","2017",22.19
"Procent","Uuddannet","Holstebro","2008",25.93
"Procent","Uuddannet","Holstebro","2009",25.38
"Procent","Uuddannet","Holstebro","2010",24.56
"Procent","Uuddannet","Holstebro","2011",23.96
"Procent","Uuddannet","Holstebro","2012",23.30
"Procent","Uuddannet","Holstebro","2013",23.13
"Procent","Uuddannet","Holstebro","2014",22.44
"Procent","Uuddannet","Holstebro","2015",21.61
"Procent","Uuddannet","Holstebro","2016",20.79
"Procent","Uuddannet","Holstebro","2017",20.03
"Procent","Uuddannet","Horsens","2008",27.12
"Procent","Uuddannet","Horsens","2009",26.60
"Procent","Uuddannet","Horsens","2010",25.89
"Procent","Uuddannet","Horsens","2011",25.28
"Procent","Uuddannet","Horsens","2012",24.60
"Procent","Uuddannet","Horsens","2013",24.03
"Procent","Uuddannet","Horsens","2014",23.54
"Procent","Uuddannet","Horsens","2015",22.99
"Procent","Uuddannet","Horsens","2016",22.18
"Procent","Uuddannet","Horsens","2017",21.51
"Procent","Uuddannet","Hvidovre","2008",25.62
"Procent","Uuddannet","Hvidovre","2009",25.30
"Procent","Uuddannet","Hvidovre","2010",24.56
"Procent","Uuddannet","Hvidovre","2011",24.29
"Procent","Uuddannet","Hvidovre","2012",23.78
"Procent","Uuddannet","Hvidovre","2013",23.58
"Procent","Uuddannet","Hvidovre","2014",23.44
"Procent","Uuddannet","Hvidovre","2015",22.93
"Procent","Uuddannet","Hvidovre","2016",22.10
"Procent","Uuddannet","Hvidovre","2017",21.30
"Procent","Uuddannet","Høje-Taastrup","2008",28.76
"Procent","Uuddannet","Høje-Taastrup","2009",28.53
"Procent","Uuddannet","Høje-Taastrup","2010",28.27
"Procent","Uuddannet","Høje-Taastrup","2011",28.15
"Procent","Uuddannet","Høje-Taastrup","2012",28.03
"Procent","Uuddannet","Høje-Taastrup","2013",27.75
"Procent","Uuddannet","Høje-Taastrup","2014",27.58
"Procent","Uuddannet","Høje-Taastrup","2015",27.08
"Procent","Uuddannet","Høje-Taastrup","2016",26.16
"Procent","Uuddannet","Høje-Taastrup","2017",25.59
"Procent","Uuddannet","Hørsholm","2008",12.27
"Procent","Uuddannet","Hørsholm","2009",12.39
"Procent","Uuddannet","Hørsholm","2010",12.20
"Procent","Uuddannet","Hørsholm","2011",12.00
"Procent","Uuddannet","Hørsholm","2012",11.84
"Procent","Uuddannet","Hørsholm","2013",11.79
"Procent","Uuddannet","Hørsholm","2014",11.70
"Procent","Uuddannet","Hørsholm","2015",11.07
"Procent","Uuddannet","Hørsholm","2016",10.42
"Procent","Uuddannet","Hørsholm","2017",10.35
"Procent","Uuddannet","Ikast-Brande","2008",31.56
"Procent","Uuddannet","Ikast-Brande","2009",30.48
"Procent","Uuddannet","Ikast-Brande","2010",29.75
"Procent","Uuddannet","Ikast-Brande","2011",29.30
"Procent","Uuddannet","Ikast-Brande","2012",28.79
"Procent","Uuddannet","Ikast-Brande","2013",28.24
"Procent","Uuddannet","Ikast-Brande","2014",27.32
"Procent","Uuddannet","Ikast-Brande","2015",26.39
"Procent","Uuddannet","Ikast-Brande","2016",25.30
"Procent","Uuddannet","Ikast-Brande","2017",24.48
"Procent","Uuddannet","Ishøj","2008",37.76
"Procent","Uuddannet","Ishøj","2009",37.53
"Procent","Uuddannet","Ishøj","2010",37.03
"Procent","Uuddannet","Ishøj","2011",36.86
"Procent","Uuddannet","Ishøj","2012",36.51
"Procent","Uuddannet","Ishøj","2013",36.11
"Procent","Uuddannet","Ishøj","2014",35.10
"Procent","Uuddannet","Ishøj","2015",34.35
"Procent","Uuddannet","Ishøj","2016",33.15
"Procent","Uuddannet","Ishøj","2017",31.91
"Procent","Uuddannet","Jammerbugt","2008",30.41
"Procent","Uuddannet","Jammerbugt","2009",29.83
"Procent","Uuddannet","Jammerbugt","2010",28.89
"Procent","Uuddannet","Jammerbugt","2011",28.50
"Procent","Uuddannet","Jammerbugt","2012",27.85
"Procent","Uuddannet","Jammerbugt","2013",27.25
"Procent","Uuddannet","Jammerbugt","2014",26.49
"Procent","Uuddannet","Jammerbugt","2015",25.93
"Procent","Uuddannet","Jammerbugt","2016",24.96
"Procent","Uuddannet","Jammerbugt","2017",24.25
"Procent","Uuddannet","Kalundborg","2008",29.53
"Procent","Uuddannet","Kalundborg","2009",29.05
"Procent","Uuddannet","Kalundborg","2010",28.23
"Procent","Uuddannet","Kalundborg","2011",27.80
"Procent","Uuddannet","Kalundborg","2012",27.48
"Procent","Uuddannet","Kalundborg","2013",27.15
"Procent","Uuddannet","Kalundborg","2014",26.85
"Procent","Uuddannet","Kalundborg","2015",26.64
"Procent","Uuddannet","Kalundborg","2016",26.28
"Procent","Uuddannet","Kalundborg","2017",25.94
"Procent","Uuddannet","Kerteminde","2008",26.82
"Procent","Uuddannet","Kerteminde","2009",26.02
"Procent","Uuddannet","Kerteminde","2010",25.53
"Procent","Uuddannet","Kerteminde","2011",25.03
"Procent","Uuddannet","Kerteminde","2012",24.85
"Procent","Uuddannet","Kerteminde","2013",24.60
"Procent","Uuddannet","Kerteminde","2014",23.69
"Procent","Uuddannet","Kerteminde","2015",23.05
"Procent","Uuddannet","Kerteminde","2016",22.90
"Procent","Uuddannet","Kerteminde","2017",21.69
"Procent","Uuddannet","Kolding","2008",24.89
"Procent","Uuddannet","Kolding","2009",24.42
"Procent","Uuddannet","Kolding","2010",23.97
"Procent","Uuddannet","Kolding","2011",23.61
"Procent","Uuddannet","Kolding","2012",23.23
"Procent","Uuddannet","Kolding","2013",22.73
"Procent","Uuddannet","Kolding","2014",22.06
"Procent","Uuddannet","Kolding","2015",21.45
"Procent","Uuddannet","Kolding","2016",20.56
"Procent","Uuddannet","Kolding","2017",20.00
"Procent","Uuddannet","København","2008",22.85
"Procent","Uuddannet","København","2009",22.58
"Procent","Uuddannet","København","2010",22.10
"Procent","Uuddannet","København","2011",21.74
"Procent","Uuddannet","København","2012",21.09
"Procent","Uuddannet","København","2013",20.44
"Procent","Uuddannet","København","2014",19.65
"Procent","Uuddannet","København","2015",18.65
"Procent","Uuddannet","København","2016",17.36
"Procent","Uuddannet","København","2017",16.54
"Procent","Uuddannet","Køge","2008",25.02
"Procent","Uuddannet","Køge","2009",24.40
"Procent","Uuddannet","Køge","2010",23.99
"Procent","Uuddannet","Køge","2011",23.49
"Procent","Uuddannet","Køge","2012",22.96
"Procent","Uuddannet","Køge","2013",22.62
"Procent","Uuddannet","Køge","2014",22.14
"Procent","Uuddannet","Køge","2015",21.78
"Procent","Uuddannet","Køge","2016",21.05
"Procent","Uuddannet","Køge","2017",20.82
"Procent","Uuddannet","Langeland","2008",33.38
"Procent","Uuddannet","Langeland","2009",33.01
"Procent","Uuddannet","Langeland","2010",32.08
"Procent","Uuddannet","Langeland","2011",31.66
"Procent","Uuddannet","Langeland","2012",31.04
"Procent","Uuddannet","Langeland","2013",30.48
"Procent","Uuddannet","Langeland","2014",30.06
"Procent","Uuddannet","Langeland","2015",29.88
"Procent","Uuddannet","Langeland","2016",29.80
"Procent","Uuddannet","Langeland","2017",29.09
"Procent","Uuddannet","Lejre","2008",17.74
"Procent","Uuddannet","Lejre","2009",17.58
"Procent","Uuddannet","Lejre","2010",17.16
"Procent","Uuddannet","Lejre","2011",16.68
"Procent","Uuddannet","Lejre","2012",16.37
"Procent","Uuddannet","Lejre","2013",16.29
"Procent","Uuddannet","Lejre","2014",16.18
"Procent","Uuddannet","Lejre","2015",15.69
"Procent","Uuddannet","Lejre","2016",15.55
"Procent","Uuddannet","Lejre","2017",15.10
"Procent","Uuddannet","Lemvig","2008",29.03
"Procent","Uuddannet","Lemvig","2009",28.19
"Procent","Uuddannet","Lemvig","2010",27.55
"Procent","Uuddannet","Lemvig","2011",26.66
"Procent","Uuddannet","Lemvig","2012",26.36
